Product ID,Merchant Store,Merchant Slug,Product Name,Category,Price (INR),Original Price (INR),Stock Inventory,Tags,Technical AI Specs,Full Description
prod_dc_004,DeskCraft,deskcraft,CableVault Under-Desk Organizer,Accessories,₹999.00,,90,"cable-management, under-desk, organizer, steel",material: Powder-coated steel mesh | length: 40cm | mounting: Screw/adhesive | load: 5kg,"Under-desk cable management tray, 40cm steel mesh, holds power strips and adapters."
prod_dc_chair_01,DeskCraft,deskcraft,Herman Miller Aeron Ergonomic Chair,Chairs,"₹124,999.00","₹139,999.00",10,"chair, ergonomic, herman-miller, office, desk",suspension: 8Z Pellicle mesh | support: PostureFit SL lumbar,"Iconic ergonomic office chair with breathable 8Z Pellicle mesh suspension, PostureFit SL sacral/lumbar support, fully adjustable armrests, and smooth tilt mechanism."
prod_dc_001,DeskCraft,deskcraft,AeroDesk Pro Dual-Motor Standing Desk,Desks,"₹27,999.00","₹34,999.00",14,"standing-desk, electric, bamboo, dual-motor, desk",motor: Dual electric | desktop: 60x30 inch solid bamboo,"Electric sit-stand standing desk with 60x30 inch solid bamboo desktop, dual electric motors, memory presets, and anti-collision sensor."
prod_dc_003,DeskCraft,deskcraft,LumiBar LED Desk Lamp,Lighting,"₹2,999.00",,48,"desk-lamp, led, no-glare, usb-c",type: Asymmetric LED bar | temps: 5 (2700K-6500K) | dimming: Touch stepless | usbC: 15W PD,"Asymmetric LED desk lamp with no-glare screen mode, 5 color temps, touch dimmer, USB-C charge."
prod_dc_002,DeskCraft,deskcraft,FlexiMount Gas-Spring Monitor Arm,Monitor Arms,"₹3,499.00","₹4,499.00",35,"monitor-arm, gas-spring, vesa, ergonomic",range: 17-34 inch | mount: VESA 75/100,"Heavy-duty gas spring single monitor arm supporting 17-34 inch displays, VESA 75/100, integrated cable management."
prod_gl_001,GlowLab,glowlab,ClearPore Salicylic Gel Face Wash,Cleansers,₹449.00,₹599.00,200,"face-wash, salicylic-acid, cleanser, acne, skincare",active: Salicylic Acid 2% | pH: 5.5,"Salicylic acid 2% gel cleanser for acne prone and oily skin. Fragrance-free, dermatologist formulated at pH 5.5."
prod_gl_002,GlowLab,glowlab,HydraShield Moisturizer,Moisturizers,₹699.00,₹899.00,130,"moisturizer, hyaluronic-acid, niacinamide, gel",actives: Hyaluronic acid + Niacinamide 5% + Ceramides | texture: Lightweight gel | size: 50ml,"Lightweight gel moisturizer with hyaluronic acid, niacinamide 5%, and ceramides. Non-comedogenic."
prod_gl_serum_01,GlowLab,glowlab,SkinCeuticals C E Ferulic Vitamin C Serum,Serums,"₹15,999.00","₹17,999.00",50,"serum, vitamin-c, skinceuticals, skincare, anti-aging, dermatologist",actives: 15% L-ascorbic acid + 1% Vitamin E + 0.5% Ferulic acid,"Dermatologist-recommended advanced antioxidant serum with 15% pure L-ascorbic acid, 1% alpha-tocopherol (Vitamin E), and 0.5% ferulic acid for maximum photo-protection & anti-aging."
prod_gl_004,GlowLab,glowlab,BrightBoost Vitamin C Serum,Serums,"₹1,299.00","₹1,599.00",75,"serum, vitamin-c, brightening, anti-aging",actives: 15% L-Ascorbic acid + Vitamin E + Ferulic acid | target: Dark spots + radiance | size: 30ml,"15% L-Ascorbic acid serum with Vitamin E and Ferulic acid. Dark spot corrector, glass dropper bottle."
prod_gl_003,GlowLab,glowlab,UVGuard SPF 50+ Sunscreen,Sunscreen,₹599.00,,180,"sunscreen, spf50, broad-spectrum, no-white-cast",spf: 50+ PA++++ | type: Chemical + Mineral hybrid | waterResistant: 80 min | size: 50ml,"Broad-spectrum SPF 50+ PA++++ sunscreen. Water-resistant, no white cast, for all skin types."
prod_hc_001,HomeChef Co.,homechef,Breville Barista Touch Espresso Machine,Appliances,"₹89,999.00","₹99,999.00",15,"espresso, coffee, breville, appliance, kitchen",heat_up: 3 seconds | grinder: Integrated Conical Burr,"Automated touchscreen espresso machine with integrated precision conical burr grinder, ThermoJet 3-second heat up, dual boilers, and automatic microfoam milk texturing."
prod_hc_003,HomeChef Co.,homechef,QuietBlend Pro 1500W Blender,Appliances,"₹5,999.00","₹7,999.00",20,"blender, quiet, kitchen, appliance",power: 1500W | capacity: 2L,"High-performance commercial blender with sound enclosure shield, 1500W motor, 2L Tritan jar, and 10 speed settings."
prod_hc_002,HomeChef Co.,homechef,"Cast Iron Skillet 12""",Cookware,"₹2,299.00",,55,"skillet, cast-iron, pre-seasoned, cookware",material: Cast iron | size: 12 inch | seasoning: Pre-seasoned | ovenSafe: 260°C,"Pre-seasoned cast iron skillet, 12-inch, dual handles, oven-safe to 260°C."
prod_hc_004,HomeChef Co.,homechef,Stainless Steel Spoon Set (6),Utensils,₹499.00,,150,"spoons, stainless-steel, serving, utensils",material: 18/10 Stainless steel | pieces: 6 | finish: Mirror polish | care: Dishwasher-safe,"Set of 6 mirror-polished stainless steel serving spoons. Dishwasher-safe, ergonomic handles."
prod_sw_001,SonicWave,sonicwave,Nova Bookshelf Speakers (Pair),Bookshelf Speakers,"₹8,999.00","₹11,999.00",21,"speakers, bookshelf, powered, bluetooth","power: 50W x2 | drivers: 4"" woofer + 1"" silk tweeter | bluetooth: 5.3 aptX HD | inputs: Bluetooth/Optical/RCA/USB","Powered bookshelf speakers, 50W per channel, Bluetooth 5.3, optical input, walnut finish."
prod_sw_headphones_01,SonicWave,sonicwave,Sony WH-1000XM5 ANC Headphones,Headphones,"₹29,990.00","₹34,990.00",45,"headphones, sony, anc, noise-canceling, bluetooth, audio, wireless","noise_canceling: Dual Processor V1 + QN1 with 8 microphones | driver: 30mm precision-engineered carbon fiber driver unit | battery: 30 hours (3 min charge = 3 hours playback) | codecs: LDAC, AAC, SBC, Hi-Res Audio Wireless certified","Industry-leading Noise Canceling wireless over-ear headphones with Integrated Processor V1, HD Noise Canceling Processor QN1, 8 microphones, 30-hour battery, LDAC Hi-Res Audio, and Speak-to-Chat."
prod_sw_003,SonicWave,sonicwave,PulseGo Portable Speaker,Portable Speakers,"₹3,499.00",,60,"portable, bluetooth, waterproof, outdoor",power: 20W | battery: 18hr | waterproof: IPX7 | charging: USB-C fast charge (2hr),"Waterproof IPX7 portable Bluetooth speaker, 20W, 18hr battery, USB-C fast charge."
prod_sw_002,SonicWave,sonicwave,ArcBar 2.1 Soundbar,Soundbars,"₹14,999.00","₹18,999.00",15,"soundbar, dolby-atmos, subwoofer, hdmi-earc",power: 280W total | channels: 2.1 | audio: Dolby Atmos | connectivity: HDMI eARC + Bluetooth 5.2 + Optical,"2.1 soundbar with wireless subwoofer, Dolby Atmos, HDMI eARC, 280W total output."
prod_sw_soundbar_01,SonicWave,sonicwave,Bose Smart Soundbar 900 Dolby Atmos,Speakers,"₹84,900.00","₹94,900.00",12,"speaker, soundbar, bose, dolby-atmos, spatial-audio, home-theater, hifi","audio_tech: Dolby Atmos, Voice4Video, PhaseGuide directional sound | drivers: 9 total transducers (2 up-firing dipole, 1 center tweeter, 6 full-range)","Flagship home theater soundbar featuring Dolby Atmos spatial audio, 9 custom drivers including two custom up-firing dipole transducers, PhaseGuide technology, and Voice Assistant integration."
prod_sw_speaker_02,SonicWave,sonicwave,JBL Boombox 3 Portable Bluetooth Speaker,Speakers,"₹35,999.00","₹39,999.00",30,"speaker, jbl, portable, waterproof, bluetooth, bass, audio",speakers: 3-way (Subwoofer 80W + 2x Midrange 40W + 2x Tweeter 10W) | waterproof: IP67 dust and waterproof rating,"Massive sound portable speaker with 3-way speaker system (heavy-duty subwoofer + 2 mid-range drivers + 2 tweeters), IP67 dust/waterproof, 24-hour battery, and built-in powerbank."
prod_sw_speaker_01,SonicWave,sonicwave,Marshall Stanmore III Wireless Speaker,Speakers,"₹31,999.00","₹34,999.00",20,"speaker, marshall, bluetooth, hifi, audio, vintage, home-audio","power_output: 80W Total (1x 50W Class D Woofer + 2x 15W Tweeters) | frequency_range: 45–20,000 Hz | connectivity: Bluetooth 5.2 LE Audio, 3.5mm Aux, RCA","Iconic home audio speaker with wider soundstage, 80W Class D amplification, 5.25"" woofer, two 3/4"" tweeters, Bluetooth 5.2 LE audio, RCA & 3.5mm inputs, and vintage brass controls."
prod_sw_004,SonicWave,sonicwave,"StudioRef 5"" Monitor Speakers",Studio Monitors,"₹12,999.00","₹14,999.00",8,"studio-monitors, reference, flat-response, xlr","power: 70W bi-amped per speaker | driver: 5"" Kevlar woofer + 1"" silk dome | response: 48Hz-22kHz ±1dB | inputs: XLR/TRS balanced","Active studio reference monitors, 5"" woofer, flat frequency response, XLR/TRS inputs. Sold as pair."
